purchase_id,name,email,country,product,price,payment_method,timestamp,address,phone
1,Gary Hendrix,jennifer77@castillo.biz,Austria,Nothing,183.9,Credit Card,2025-09-20 19:38:11,"2576 Lee Trafficway Apt. 635, Andrewmouth, ND 12016",+1-582-336-5796
2,Randy Wells,hillsharon@romero.com,Italy,Mrs,324.82,Credit Card,2025-06-11 19:22:05,"77563 Mary Radial, Judithton, GA 08220",600-810-3401x84587
3,Monica Clark,heatherbarnett@gmail.com,Central African Republic,Ready,162.77,UPI,2024-10-22 08:38:42,"4897 Susan Lodge, Lake Tylermouth, WA 25405",073-708-9294x54913
4,Amy Horne DVM,rebeccahill@gmail.com,Mayotte,Get,253.15,Net Banking,2024-11-07 17:49:56,"85109 Neil Summit, Dennisfort, MI 93708",712-315-7904x174
5,Melissa Alvarez,franklinsally@jones-clark.com,Rwanda,Piece,44.14,Credit Card,2024-04-12 05:24:24,"698 Hunter Neck, Leefurt, NV 45930",081-312-7511x0273
6,Alexander Davis,kristydowns@mitchell-lopez.com,Tuvalu,Training,426.95,Credit Card,2024-07-21 22:42:25,"PSC 1934, Box 8133, APO AP 48192",001-727-009-0221x386
7,Richard Tate,rmichael@mccoy.biz,Malaysia,Matter,110.27,UPI,2025-11-09 02:43:00,"99821 Weiss Ports, Arianaland, MS 61639",(547)173-6163x6597
8,Rickey Marshall,darlene28@gmail.com,Benin,Nation,153.15,UPI,2025-06-09 11:44:46,"13348 West Trail, Kelseyville, OH 67220",+1-463-334-1491x203
9,Adam Roberts,katherine63@hotmail.com,Estonia,Build,314.33,Credit Card,2025-09-01 21:44:40,"08770 Holmes Orchard Apt. 755, Port Toddmouth, AL 83934",001-124-728-8485x659
10,Dustin Hull,keithharris@gmail.com,Equatorial Guinea,Education,88.85,Credit Card,2024-09-20 02:47:23,"564 Suzanne Summit, Housebury, MI 16258",+1-719-262-6672
11,Timothy Charles,noah52@sanchez.com,New Zealand,Life,453.23,Net Banking,2024-01-16 04:42:43,"Unit 9489 Box 9681, DPO AE 51958",001-758-328-7683x78241
12,Ashley Williams,lambertandrew@hotmail.com,Tokelau,Off,497.58,PayPal,2025-04-20 01:28:33,"02405 Smith Highway, Youngland, OK 80546",(841)671-8123
13,Rebecca Myers,williamseric@yahoo.com,Bouvet Island (Bouvetoya),Outside,333.77,Debit Card,2025-08-08 14:56:07,"883 Priscilla Plaza Apt. 804, Traceyfort, WI 46602",(458)129-1054x3403
14,Mark Moore,pauljohnson@smith-white.com,Singapore,Bill,123.08,Credit Card,2025-02-27 14:24:08,"7547 Henry Prairie Apt. 467, New Sharonburgh, AR 56689",(118)844-4052x80081
15,Crystal Patterson,patricia70@hotmail.com,Mauritius,So,19.13,PayPal,2025-06-12 15:43:24,"061 Jones Terrace, Nelsonborough, WY 25075",871-326-3371x055
16,Joseph Savage,xwhite@gmail.com,Sweden,One,287.92,Credit Card,2025-03-15 04:17:17,"8691 Gary Plains Apt. 761, South Sharon, IL 63598",(670)697-4270x78419
